COG	ACTUAL	CAPAY	CRPAY	ANI	LIBCOG	LIBENR	ANCNOM
100	1				FRANCE	RÉPUBLIQUE FRANÇAISE	
101	1				DANEMARK	ROYAUME DU DANEMARK	
102	1			1944	ISLANDE	RÉPUBLIQUE D'ISLANDE	
103	1				NORVEGE	ROYAUME DE NORVÈGE	
104	1				SUEDE	ROYAUME DE SUÈDE	
105	1				FINLANDE	RÉPUBLIQUE DE FINLANDE	
106	1	99123		1991	ESTONIE	RÉPUBLIQUE D'ESTONIE	
107	1	99123		1991	LETTONIE	RÉPUBLIQUE DE LETTONIE	
108	1	99123		1991	LITUANIE	RÉPUBLIQUE DE LITUANIE	
109	1			1990	ALLEMAGNE	RÉPUBLIQUE FÉDÉRALE D'ALLEMAGNE	
110	1				AUTRICHE	RÉPUBLIQUE D'AUTRICHE	
111	1				BULGARIE	RÉPUBLIQUE DE BULGARIE	
112	1				HONGRIE	RÉPUBLIQUE DE HONGRIE	
113	1				LIECHTENSTEIN	PRINCIPAUTÉ DE LIECHTENSTEIN	
114	1				ROUMANIE	ROUMANIE	
115	2				TCHECOSLOVAQUIE	TCHÉCOSLOVAQUIE	
116	1	99115		1992	TCHEQUE (REPUBLIQUE)	RÉPUBLIQUE TCHÈQUE	
117	1	99115		1992	SLOVAQUIE	RÉPUBLIQUE SLOVAQUE	
118	1	99121		1992	BOSNIE-HERZEGOVINE	RÉPUBLIQUE DE BOSNIE-HERZÉGOVINE	
119	1	99121		1991	CROATIE	RÉPUBLIQUE DE CROATIE	
120	1	99121		2006	MONTENEGRO	RÉPUBLIQUE DU MONTÉNÉGRO	SERBIE-ET-MONTENEGRO
121	1			2006	SERBIE	RÉPUBLIQUE DE SERBIE	SERBIE-ET-MONTENEGRO
122	1				POLOGNE	RÉPUBLIQUE DE POLOGNE	
123	1			1991	RUSSIE	FÉDÉRATION DE RUSSIE	U.R.S.S.
124	2		99208		TURQUIE D'EUROPE	TURQUIE D'EUROPE	
125	1				ALBANIE	RÉPUBLIQUE D'ALBANIE	
126	1				GRECE	RÉPUBLIQUE HELLÉNIQUE	
127	1				ITALIE	RÉPUBLIQUE ITALIENNE	
128	1				SAINT-MARIN	RÉPUBLIQUE DE SAINT-MARIN	
129	1				VATICAN, ou SAINT-SIEGE	ÉTAT DE LA CITÉ DU VATICAN	
130	1				ANDORRE	PRINCIPAUTÉ D'ANDORRE	
131	1				BELGIQUE	ROYAUME DE BELGIQUE	
132	1				ROYAUME-UNI	ROYAUME-UNI DE GRANDE-BRETAGNE ET D'IRLANDE DU NORD	
133	4		99132		GIBRALTAR	GIBRALTAR	
134	1				ESPAGNE	ROYAUME D'ESPAGNE	
135	1				PAYS-BAS	ROYAUME DES PAYS-BAS	HOLLANDE
136	1				IRLANDE, ou EIRE	IRLANDE	
137	1				LUXEMBOURG	GRAND-DUCHÉ DE LUXEMBOURG	
138	1				MONACO	PRINCIPAUTÉ DE MONACO	
139	1				PORTUGAL	RÉPUBLIQUE PORTUGAISE	
140	1				SUISSE	CONFÉDÉRATION SUISSE	
141	2		99109		REPUBLIQUE DEMOCRATIQUE ALLEMANDE	RÉPUBLIQUE DÉMOCRATIQUE ALLEMANDE	
142	2		99109		REPUBLIQUE FEDERALE D'ALLEMAGNE	RÉPUBLIQUE FÉDÉRALE D'ALLEMAGNE	
144	1	99133		1964	MALTE	RÉPUBLIQUE DE MALTE	
145	1	99121		1991	SLOVENIE	RÉPUBLIQUE DE SLOVÉNIE	
148	1	99123		1991	BIELORUSSIE	RÉPUBLIQUE DE BIÉLORUSSIE	
151	1	99123		1991	MOLDAVIE	RÉPUBLIQUE DE MOLDAVIE	
155	1	99123		1991	UKRAINE	UKRAINE	
156	1	99121		1993	EX-REPUBLIQUE YOUGOSLAVE DE MACEDOINE	EX-RÉPUBLIQUE YOUGOSLAVE DE MACÉDOINE	
157	1	99121		2008	KOSOVO	RÉPUBLIQUE DU KOSOVO	SERBIE
201	1				ARABIE SAOUDITE	ROYAUME D'ARABIE SAOUDITE	
202	2		99251		YEMEN (REPUBLIQUE ARABE DU)	YÉMEN (RÉPUBLIQUE ARABE DU)	
203	1				IRAQ	RÉPUBLIQUE D'IRAQ	
204	1				IRAN	RÉPUBLIQUE ISLAMIQUE D'IRAN	PERSE
205	1			1943	LIBAN	RÉPUBLIQUE LIBANAISE	
206	1			1944	SYRIE	RÉPUBLIQUE ARABE SYRIENNE	
207	1			1948	ISRAEL	ÉTAT D'ISRAËL	
208	1				TURQUIE	RÉPUBLIQUE TURQUE	
209	2		99123		SIBERIE	SIBÉRIE	
210	2		99123		TURKESTAN RUSSE	TURKESTAN RUSSE	
211	2		99123		KAMTCHATKA	KAMTCHATKA	
212	1				AFGHANISTAN	ÉTAT ISLAMIQUE D'AFGHANISTAN	
213	1			1947	PAKISTAN	RÉPUBLIQUE ISLAMIQUE DU PAKISTAN	
214	1				BHOUTAN	ROYAUME DU BHOUTAN	
215	1				NEPAL	ROYAUME DU NÉPAL	
216	1				CHINE	RÉPUBLIQUE POPULAIRE DE CHINE	
217	1				JAPON	JAPON	
218	2		99216		MANDCHOURIE	MANDCHOURIE	MANDCHOUKOUO
219	1				THAILANDE	ROYAUME DE THAÏLANDE	SIAM
220	1			1946	PHILIPPINES	RÉPUBLIQUE DES PHILIPPINES	
221	2				POSSESSIONS BRITANNIQUES AU PROCHE-ORIENT	POSSESSIONS BRITANNIQUES AU PROCHE-ORIENT	
222	1			1946	JORDANIE	ROYAUME HACHÉMITE DE JORDANIE	TRANSJORDANIE
223	1			1947	INDE	RÉPUBLIQUE DE L'INDE	
224	1			1948	BIRMANIE	UNION DE BIRMANIE	
225	1			1984	BRUNEI	NEGARA BRUNEI DARUSSALAM	BORNEO BRITANNIQUE
226	1			1965	SINGAPOUR	RÉPUBLIQUE DE SINGAPOUR	ETABLS. DES DETROITS
227	1			1957	MALAISIE	MALAISIE	
228	2		99227		ETATS MALAIS NON FEDERES	ÉTATS MALAIS NON FÉDÉRÉS	
229	1			1965	MALDIVES	RÉPUBLIQUE DES MALDIVES	ILES MALDIVES
230	2	99132	99216		HONG-KONG	HONG-KONG	
231	1			1945	INDONESIE	RÉPUBLIQUE D'INDONÉSIE	INDES NEER. ET PORT.
232	2	99139	99216		MACAO	MACAO	
233	2		99251		YEMEN DEMOCRATIQUE	YÉMEN DÉMOCRATIQUE	
234	1	98503		1953	CAMBODGE	ROYAUME DU CAMBODGE	KAMPUCHEA DEM.
235	1	99223		1948	SRI LANKA	RÉPUBLIQUE DÉMOCRATIQUE SOCIALISTE DE SRI LANKA	CEYLAN
236	4	99217		1945	TAIWAN	TAÏWAN	FORMOSE
237	2	99217			COREE	CORÉE	
238	1	99237		1953	COREE (REPUBLIQUE POPULAIRE DEMOCRATIQUE DE)	RÉPUBLIQUE POPULAIRE DÉMOCRATIQUE DE CORÉE	
239	1	99237		1945	COREE (REPUBLIQUE DE)	RÉPUBLIQUE DE CORÉE	
240	1	99221		1961	KOWEIT	ÉTAT DU KOWEÏT	
241	1	98505		1949	LAOS	RÉPUBLIQUE DÉMOCRATIQUE POPULAIRE LAO	
242	1	99216		1945	MONGOLIE	MONGOLIE	MONGOLIE EXTERIEURE
243	1			1976	VIET NAM	RÉPUBLIQUE SOCIALISTE DU VIÊT NAM	
244	2	98506	99243	1954	VIET NAM DU NORD	VIÊT NAM DU NORD	TONKIN, ANNAM N.
245	2	XXXXX	99243	1954	VIET NAM DU SUD	VIÊT NAM DU SUD	ANNAM S.,COCHINCHINE
246	1	99213		1972	BANGLADESH	RÉPUBLIQUE POPULAIRE DU BANGLADESH	PAKISTAN ORIENTAL
247	1	99221		1971	EMIRATS ARABES UNIS	ÉMIRATS ARABES UNIS	
248	1	99221		1971	QATAR	ÉTAT DU QATAR	
249	1	99221		1971	BAHREIN	ÉTAT DE BAHREÏN	
250	1	99221		1971	OMAN	SULTANAT D'OMAN	MASCATE-ET-OMAN
251	1			1990	YEMEN	RÉPUBLIQUE DU YÉMEN	
252	1	99123		1991	ARMENIE	RÉPUBLIQUE D'ARMÉNIE	
253	1	99123		1991	AZERBAIDJAN	RÉPUBLIQUE AZERBAÏDJANAISE	
254	1	99143		1960	CHYPRE	RÉPUBLIQUE DE CHYPRE	
255	1	99123		1991	GEORGIE	RÉPUBLIQUE DE GÉORGIE	
256	1	99123		1991	KAZAKHSTAN	RÉPUBLIQUE DU KAZAKHSTAN	
257	1	99123		1991	KIRGHIZISTAN	RÉPUBLIQUE KIRGHIZE	
258	1	99123		1991	OUZBEKISTAN	RÉPUBLIQUE D'OUZBÉKISTAN	
259	1	99123		1991	TADJIKISTAN	RÉPUBLIQUE DU TADJIKISTAN	
260	1	99123		1991	TURKMENISTAN	TURKMÉNISTAN	
261	4	99207		1994	PALESTINE	TERR. ISRAËLO-PALESTINIEN DE GAZA ET DE CISJORDANIE	
262	1	99231		2002	TIMOR ORIENTAL	RÉPUBLIQUE DÉMOCRATIQUE DU TIMOR ORIENTAL	
301	1				EGYPTE	RÉPUBLIQUE ARABE D'ÉGYPTE	
302	1				LIBERIA	RÉPUBLIQUE DU LIBERIA	
303	1				AFRIQUE DU SUD	RÉPUBLIQUE D'AFRIQUE DU SUD	UNION SUD-AFRICAINE
304	1			1965	GAMBIE	RÉPUBLIQUE DE GAMBIE	
305	2				CAMEROUN ET TOGO	CAMEROUN ET TOGO	
306	4		99132		SAINTE HELENE, ASCENSION ET TRISTAN DA CUNHA	SAINTE-HÉLÈNE, ASCENSION ET TRISTAN DA CUNHA	SAINTE HELENE
307	2				SOUDAN ANGLO-EGYPTIEN, KENYA, OUGANDA	SOUDAN ANGLO-ÉGYPTIEN, KENYA, OUGANDA	
308	2		99309		ZANZIBAR	ZANZIBAR	
309	1			1961	TANZANIE	RÉPUBLIQUE UNIE DE TANZANIE	TANGANYIKA, ZANZIBAR
310	1			1980	ZIMBABWE	RÉPUBLIQUE DU ZIMBABWE	RHODESIE DU SUD
311	1			1990	NAMIBIE	RÉPUBLIQUE DE NAMIBIE	SUD-OUEST AFRICAIN
312	1			1960	CONGO (REPUBLIQUE DEMOCRATIQUE)	RÉPUBLIQUE DÉMOCRATIQUE DU CONGO	ZAIRE
313	4	99314	99134		CANARIES (ILES)	CANARIES (ÎLES)	
314	1			1968	GUINEE EQUATORIALE	RÉPUBLIQUE DE GUINÉE ÉQUATORIALE	GUINEE ESPAGNOLE
315	1				ETHIOPIE	RÉPUBLIQUE DÉMOCRATIQUE FÉDÉRALE D'ÉTHIOPIE	ABYSSINIE
316	1			1951	LIBYE	JAMAHIRIYA ARABE LIBYENNE POPULAIRE ET SOCIALISTE	CYRENAIQUE
317	1	99315		1993	ERYTHREE	ÉTAT D'ÉRYTHRÉE	
318	1	99308		1951	SOMALIE	SOMALIE	
319	4		99139		ACORES, MADERE	AÇORES, MADÈRE	
320	2				ILES PORTUGAISES DE L'OCEAN INDIEN	ÎLES PORTUGAISES DE L'OCÉAN INDIEN	
321	1	99312		1962	BURUNDI	RÉPUBLIQUE DU BURUNDI	URUNDI
322	1	99305		1961	CAMEROUN	RÉPUBLIQUE DU CAMEROUN	
323	1	98303		1960	CENTRAFRICAINE (REPUBLIQUE)	RÉPUBLIQUE CENTRAFRICAINE	OUBANGUI-CHARI
324	1	98302		1960	CONGO	RÉPUBLIQUE DU CONGO	CONGO-BRAZZAVILLE
325	2		99350		TANGER	TANGER	
326	1	98204		1960	COTE D'IVOIRE	RÉPUBLIQUE DE CÔTE D'IVOIRE	
327	1	98205		1960	BENIN	RÉPUBLIQUE DU BÉNIN	DAHOMEY
328	1	98301		1960	GABON	RÉPUBLIQUE GABONAISE	
329	1	99304		1957	GHANA	RÉPUBLIQUE DU GHANA	COTE-DE-L'OR
330	1	XXXXX		1958	GUINEE	RÉPUBLIQUE DE GUINÉE	GUINEE FRANCAISE
331	1	98209		1960	BURKINA	BURKINA FASO	HAUTE-VOLTA
